Sentence1,Sentence2
"For three variables $X,$ $Y,$ and $Z,$ prove that the sum of all the pairwise correlations is atleast $-3/2$",Bound for the correlation of three random variables
,
What is the difference between taking a transformation of a response variable to then apply linear regression and a GLM?,Linear model with log-transformed response vs. generalized linear model with log link
,
Why divide the learning rate by the size of the mini batch?,Mean or sum of gradients for weight updates in SGD
,
Estimate probability from sample frequency in a binomial distribution,What is the intuition behind beta distribution?
,
Why does the Conv Neural Net using Tensorflow returns same predictions for all the data points,What should I do when my neural network doesn't learn?
,
Can we have a significant intercept even if the p-value is grater than alpha?,When is it ok to remove the intercept in a linear regression model?
,
Prediction interval for log transformed variable in Stata,Back transforming regression results when modeling log(y)
,
Proving the characteristic function involving sequence of 2 iid variables,Convergence of $U_n=\frac{1}{\sqrt{2n\sigma^2}}\left(\Sigma X_j-\Sigma Y_j\right)$ - central limit theorem
,
test on fold change of the mean vs. mean of fold changes,"t test on original result, log2(result), fold change and log2(fold change)"
,
"Doing regression only with correlation matrix, means, and SDs",Is there a way to use the covariance matrix to find coefficients for multiple regression?
,
What is the validation data for the neural network?,What is the difference between test set and validation set?
,
Is there a distribution such that a sum of its samples creates the uniform distribution?,Uniform random variable as sum of two random variables
,
Why reject Null Hypothesis when p value< alpha?,What is the meaning of p values and t values in statistical tests?
,
Forecasting algorithms for incomplete time series data,Time series with a sequence of zeros
,
How to obtain regression coefficients of a multiple linear regression model from simple linear regression models?,Question on how to normalize regression coefficient
,
Why the maximum sparsity is 99.5% in collaborative filtering?,Amount and sparsity of data for recommender systems
,
"Why do we use squared deviations to compute the SD, given that it amplifies the effect of outliers?",Why square the difference instead of taking the absolute value in standard deviation?
,
Help with normalising data that has A LOT of 0s,How to log transform data with a large number of zeros
,
Why imbalance in the data set is an issue in data mining and machine learning?,When is unbalanced data really a problem in Machine Learning?
,
"Regression $y = \beta_1x_1 + \beta_2x_2$ with constraints $\beta_1 + \beta_2 = 1, \beta_1, \beta_2 > 0$",How do I fit a constrained regression in R so that coefficients total = 1?
,
Computation of R-squared with lm() in R,Removal of statistically significant intercept term increases $R^2$ in linear model
,
How to split data for stateless LSTM in Keras?,Leave one out cross validation for LSTM
,
How to handle large number of categories in a regression model?,Principled way of collapsing categorical variables with many levels?
,
Dealing with non-linear variable in multiple linear regression model,What happens when I include a squared variable in my regression?
,
Calculate a confidence interval of 88% for the difference in proportions,Understanding the formula for the Confidence Interval of the difference between two sample proportions
,
Subtracting very small probabilities - How to compute?,"Computation of likelihood when $n$ is very large, so likelihood gets very small?"
,
"In an observational study in causal inference, why are the covariates usually assumed to be iid? What happens if they are not?","In the superpopulation framework of causal inference, what is the necessity of assuming the outcomes, treatment and covariates are jointly iid?"
